year	corrs	rbar	sdev	serr	eps 	cores
  1710.	     6.	  0.0946	  0.3513	  0.1434	  0.4819	   8.90
  1725.	    36.	  0.1684	  0.3242	  0.0540	  0.7210	  12.77
  1740.	    78.	  0.2262	  0.2972	  0.0336	  0.8245	  16.07
  1755.	   120.	  0.2794	  0.2683	  0.0245	  0.8780	  18.57
  1770.	   153.	  0.3017	  0.2383	  0.0193	  0.9027	  21.47
  1785.	   231.	  0.2304	  0.2991	  0.0197	  0.8780	  24.03
  1800.	   300.	  0.2236	  0.2753	  0.0159	  0.8780	  25.00
  1815.	   300.	  0.1799	  0.2867	  0.0166	  0.8458	  25.00
  1830.	   300.	  0.2259	  0.2760	  0.0159	  0.8795	  25.00
  1845.	   300.	  0.2473	  0.2433	  0.0140	  0.8915	  25.00
  1860.	   300.	  0.2058	  0.2260	  0.0130	  0.8663	  25.00
  1875.	   276.	  0.1452	  0.2445	  0.0147	  0.8092	  24.97
  1890.	   276.	  0.1937	  0.2581	  0.0155	  0.8546	  24.47
  1905.	   276.	  0.3993	  0.2177	  0.0131	  0.9410	  24.00
  1920.	   276.	  0.3715	  0.1935	  0.0116	  0.9341	  24.00
  1935.	   276.	  0.3539	  0.2161	  0.0130	  0.9293	  24.00
  1950.	   276.	  0.3405	  0.2398	  0.0144	  0.9253	  24.00
  1965.	   253.	  0.3637	  0.1911	  0.0120	  0.9316	  23.83
