year	corrs	rbar	sdev	serr	eps 	cores
  1790.	    15.	  0.0318	  0.3145	  0.0812	  0.1646	   6.00
  1800.	    15.	  0.1453	  0.2589	  0.0669	  0.5212	   6.40
  1810.	    15.	  0.1265	  0.2764	  0.0714	  0.5035	   7.00
  1820.	    21.	  0.0784	  0.2630	  0.0574	  0.3958	   7.70
  1830.	    28.	  0.2374	  0.2086	  0.0394	  0.7390	   9.10
  1840.	    45.	  0.2441	  0.2393	  0.0357	  0.7900	  11.65
  1850.	    45.	  0.2677	  0.2610	  0.0389	  0.8681	  18.00
  1860.	   153.	  0.3500	  0.2574	  0.0208	  0.9305	  24.85
  1870.	   300.	  0.2915	  0.2521	  0.0146	  0.9271	  30.90
  1880.	   465.	  0.2672	  0.2516	  0.0117	  0.9341	  38.85
  1890.	   780.	  0.2557	  0.2628	  0.0094	  0.9381	  44.10
  1900.	   990.	  0.2405	  0.2645	  0.0084	  0.9373	  47.25
  1910.	  1081.	  0.3800	  0.2456	  0.0075	  0.9696	  52.00
  1920.	  1378.	  0.4949	  0.2312	  0.0062	  0.9821	  56.15
  1930.	  1540.	  0.5700	  0.2148	  0.0055	  0.9874	  59.15
  1940.	  1770.	  0.5797	  0.2229	  0.0053	  0.9886	  62.75
  1950.	  1953.	  0.4959	  0.2303	  0.0052	  0.9854	  68.65
  1960.	  2415.	  0.3629	  0.2679	  0.0055	  0.9769	  74.20
  1970.	  2775.	  0.4336	  0.2545	  0.0048	  0.9831	  75.90
  1980.	  2850.	  0.3840	  0.2742	  0.0051	  0.9793	  76.00
  1990.	  2775.	  0.2125	  0.2764	  0.0052	  0.9533	  75.70
  2000.	  2628.	  0.2465	  0.2486	  0.0048	  0.9607	  74.80
