year	corrs	rbar	sdev	serr	eps 	cores
  1780.	     1.	  0.9070	  0.2205	  0.0000	  0.9711	   3.45
  1790.	     3.	  0.7915	  0.0237	  0.0137	  0.9522	   5.25
  1800.	    15.	  0.5468	  0.0982	  0.0254	  0.8961	   7.15
  1810.	    15.	  0.4212	  0.1924	  0.0497	  0.8719	   9.35
  1820.	    36.	  0.4766	  0.1639	  0.0273	  0.9088	  10.95
  1830.	    55.	  0.4565	  0.2217	  0.0299	  0.9140	  12.65
  1840.	    78.	  0.3090	  0.1880	  0.0213	  0.8619	  13.95
  1850.	    91.	  0.4311	  0.1768	  0.0185	  0.9196	  15.10
  1860.	   120.	  0.4175	  0.2119	  0.0193	  0.9223	  16.55
  1870.	   136.	  0.4778	  0.1921	  0.0165	  0.9404	  17.25
  1880.	   136.	  0.5005	  0.1724	  0.0148	  0.9478	  18.10
  1890.	   153.	  0.3593	  0.1793	  0.0145	  0.9136	  18.85
  1900.	   171.	  0.3527	  0.2020	  0.0154	  0.9119	  19.00
  1910.	   171.	  0.4728	  0.1815	  0.0139	  0.9446	  19.00
  1920.	   171.	  0.5220	  0.1712	  0.0131	  0.9540	  19.00
  1930.	   171.	  0.4610	  0.1786	  0.0137	  0.9420	  19.00
  1940.	   171.	  0.4244	  0.2115	  0.0162	  0.9334	  19.00
  1950.	   153.	  0.2474	  0.2306	  0.0186	  0.8588	  18.50
  1960.	   153.	  0.2081	  0.2577	  0.0208	  0.8254	  18.00
  1970.	   153.	  0.2519	  0.2143	  0.0173	  0.8584	  18.00
  1980.	   153.	  0.3832	  0.1828	  0.0148	  0.9179	  18.00
