year	corrs	rbar	sdev	serr	eps 	cores
  1790.	    15.	  0.0445	  0.2713	  0.0701	  0.2183	   6.00
  1800.	    15.	  0.1196	  0.2522	  0.0651	  0.4651	   6.40
  1810.	    15.	  0.0893	  0.2621	  0.0677	  0.4070	   7.00
  1820.	    21.	  0.0283	  0.2585	  0.0564	  0.1834	   7.70
  1830.	    28.	  0.1554	  0.2138	  0.0404	  0.6261	   9.10
  1840.	    45.	  0.1787	  0.2366	  0.0353	  0.7171	  11.65
  1850.	    45.	  0.2413	  0.2598	  0.0387	  0.8513	  18.00
  1860.	   153.	  0.3573	  0.2397	  0.0194	  0.9325	  24.85
  1870.	   300.	  0.2822	  0.2414	  0.0139	  0.9239	  30.90
  1880.	   465.	  0.3197	  0.2493	  0.0116	  0.9481	  38.85
  1890.	   780.	  0.2923	  0.2473	  0.0089	  0.9480	  44.10
  1900.	   990.	  0.2548	  0.2361	  0.0075	  0.9417	  47.25
  1910.	  1081.	  0.4012	  0.2166	  0.0066	  0.9721	  52.00
  1920.	  1378.	  0.5410	  0.2130	  0.0057	  0.9851	  56.15
  1930.	  1540.	  0.5986	  0.1951	  0.0050	  0.9888	  59.15
  1940.	  1770.	  0.5421	  0.1911	  0.0045	  0.9867	  62.75
  1950.	  1953.	  0.4383	  0.1972	  0.0045	  0.9817	  68.65
  1960.	  2415.	  0.3380	  0.2346	  0.0048	  0.9743	  74.20
  1970.	  2775.	  0.3679	  0.2249	  0.0043	  0.9779	  75.90
  1980.	  2850.	  0.3525	  0.2357	  0.0044	  0.9764	  76.00
  1990.	  2775.	  0.2610	  0.2256	  0.0043	  0.9639	  75.70
  2000.	  2628.	  0.3014	  0.2337	  0.0046	  0.9699	  74.80
