1750,0.394868
1751,0.209518
1752,-2.17748
1753,-0.634332
1754,5.57E-03
1755,-1.59488
1756,-1.21088
1757,-1.79998
1758,0.358268
1759,0.252868
1760,0.678368
1761,1.30297
1762,-1.24E-02
1763,-1.03833
1764,0.886918
1765,-1.51788
1766,1.68812
1767,-0.869032
1768,1.27657
1769,0.825818
1770,-0.886532
1771,1.60827
1772,-2.01918
1773,-2.94908
1774,-1.29118
1775,0.284918
1776,0.574668
1777,-1.17488
1778,-1.18503
1779,0.239068
1780,-1.15233
1781,0.837768
1782,-1.32283
1783,0.963218
1784,1.36822
1785,-0.298632
1786,-0.812882
1787,1.52802
1788,-0.292882
1789,-1.39933
1790,-7.92E-02
1791,0.113168
1792,1.32837
1793,2.13807
1794,6.04E-02
1795,-0.405682
1796,1.15127
1797,1.56917
1798,-0.700332
1799,-0.125282
1800,-0.944032
1801,-1.57188
1802,0.808368
1803,-0.595082
1804,0.667218
1805,-0.683282
1806,-1.89548
1807,0.363818
1808,-0.655582
1809,-1.15568
1810,-0.228732
1811,1.43407
1812,-0.999582
1813,-1.39538
1814,0.859168
1815,0.761018
1816,0.436118
1817,0.667068
1818,-2.17933
1819,-1.36428
1820,-2.20263
1821,-0.264882
1822,-2.59538
1823,-1.46328
1824,-1.25368
1825,1.18112
1826,0.973168
1827,1.28547
1828,3.27127
1829,-1.66023
1830,1.74997
1831,0.539168
1832,1.36367
1833,1.69862
1834,-1.12228
1835,-3.93E-02
1836,0.853668
1837,1.24122
1838,0.820168
1839,0.312118
1840,1.80437
1841,-1.80908
1842,-1.03953
1843,-0.411882
1844,0.961018
1845,-1.24938
1846,-0.419432
1847,-1.41053
1848,-0.409132
1849,1.81037
1850,0.955068
1851,-1.88138
1852,0.438868
1853,0.861218
1854,0.896918
1855,-1.31068
1856,-2.46283
1857,-1.59398
1858,0.180418
1859,-1.00458
1860,-0.622782
1861,-2.14128
1862,0.969768
1863,-1.41223
1864,-3.16698
1865,-0.434232
1866,2.07902
1867,1.65052
1868,1.38002
1869,2.00607
1870,-1.19943
1871,-2.44203
1872,-0.716032
1873,-1.09583
1874,-1.92263
1875,-0.489782
1876,1.04252
1877,-0.448932
1878,2.06342
1879,-2.83923
1880,-2.26023
1881,-0.993482
1882,0.997068
1883,0.631618
1884,2.45272
1885,0.833268
1886,0.196068
1887,-1.65683
1888,-0.115732
1889,1.37342
1890,0.704868
1891,1.54292
1892,1.39447
1893,-0.809432
1894,-1.75463
1895,-1.22908
1896,-1.54068
1897,1.02162
1898,5.62E-02
1899,-1.98303
1900,-1.41263
1901,-0.627082
1902,-1.80008
1903,2.07112
1904,9.37E-02
1905,1.50937
1906,1.82122
1907,3.41282
1908,1.79552
1909,1.57637
1910,-4.54E-02
1911,-1.74213
1912,1.46852
1913,-0.517032
1914,0.585118
1915,3.34032
1916,2.54512
1917,1.18352
1918,-1.87623
1919,0.912118
1920,1.69282
1921,1.44372
1922,0.802118
1923,0.177718
1924,1.00027
1925,-2.03583
1926,-0.555782
1927,0.967968
1928,1.62577
1929,0.438368
1930,-0.717232
1931,-1.59678
1932,0.756268
1933,-0.845832
1934,-3.10828
1935,1.60777
1936,-1.61238
1937,1.13832
1938,1.97512
1939,-0.880282
1940,-0.679632
1941,1.55557
1942,1.89752
1943,0.402668
1944,-6.81E-02
1945,1.51812
1946,-0.102332
1947,0.654118
1948,0.213518
1949,1.62257
1950,8.51E-02
1951,0.390218
1952,0.527518
1953,-1.24538
1954,-2.34778
1955,-0.634582
1956,-1.72203
1957,0.784318
1958,2.00507
1959,-2.04838
1960,0.115668
1961,-0.370832
1962,0.682668
1963,-1.48693
1964,-1.87333
1965,1.09592
1966,-1.15718
1967,-0.268882
1968,-0.189332
1969,1.68187
1970,0.276368
1971,-0.413432
1972,-0.865082
1973,2.54722
1974,0.786618
1975,2.37257
1976,-7.16E-02
1977,-2.61193
1978,1.23822
1979,3.17042
1980,0.985868
1981,-0.758332
1982,1.68867
1983,3.12387
1984,1.51337
1985,0.700018
1986,-0.245482
1987,0.583568
1988,-1.35793
1989,0.275368
1990,5.58E-02
1991,-0.550332
1992,1.01932
1993,2.30507
1994,0.183268
1995,1.71457
1996,1.04087
1997,4.76E-02
1998,1.71812
1999,0.437268
2000,-0.421432
2001,-0.262232
2002,-2.49083
2003,6.39E-02
2004,0.568968
2005,1.41817
2006,-0.616132
