Year,J,F,M,A,M,J,J,A,S,O,N,D
416,-1.081,-1.081,-1.081,-1.081,-1.081,-1.081,-1.081,-1.081,-1.081,-1.081,-1.081,-1.081
417,-1.384,-1.384,-1.384,-1.384,-1.384,-1.384,-1.384,-1.384,-1.384,-1.384,-1.384,-1.384
418,-0.543,-0.543,-0.543,-0.543,-0.543,-0.543,-0.543,-0.543,-0.543,-0.543,-0.543,-0.543
419,-1.987,-1.987,-1.987,-1.987,-1.987,-1.987,-1.987,-1.987,-1.987,-1.987,-1.987,-1.987
420,-3.628,-3.628,-3.628,-3.628,-3.628,-3.628,-3.628,-3.628,-3.628,-3.628,-3.628,-3.628
421,-1.847,-1.847,-1.847,-1.847,-1.847,-1.847,-1.847,-1.847,-1.847,-1.847,-1.847,-1.847
422, 0.8600003E-01, 0.8600003E-01, 0.8600003E-01, 0.8600003E-01, 0.8600003E-01, 0.8600003E-01, 0.8600003E-01, 0.8600003E-01, 0.8600003E-01, 0.8600003E-01, 0.8600003E-01, 0.8600003E-01
423,2.627,2.627,2.627,2.627,2.627,2.627,2.627,2.627,2.627,2.627,2.627,2.627
424,2.366,2.366,2.366,2.366,2.366,2.366,2.366,2.366,2.366,2.366,2.366,2.366
425,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364
426,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134,-0.134
427,0.6869999,0.6869999,0.6869999,0.6869999,0.6869999,0.6869999,0.6869999,0.6869999,0.6869999,0.6869999,0.6869999,0.6869999
428,0.8280001,0.8280001,0.8280001,0.8280001,0.8280001,0.8280001,0.8280001,0.8280001,0.8280001,0.8280001,0.8280001,0.8280001
429,0.9430001,0.9430001,0.9430001,0.9430001,0.9430001,0.9430001,0.9430001,0.9430001,0.9430001,0.9430001,0.9430001,0.9430001
430,-1.008,-1.008,-1.008,-1.008,-1.008,-1.008,-1.008,-1.008,-1.008,-1.008,-1.008,-1.008
431,-1.502,-1.502,-1.502,-1.502,-1.502,-1.502,-1.502,-1.502,-1.502,-1.502,-1.502,-1.502
432,-0.7799998E-01,-0.7799998E-01,-0.7799998E-01,-0.7799998E-01,-0.7799998E-01,-0.7799998E-01,-0.7799998E-01,-0.7799998E-01,-0.7799998E-01,-0.7799998E-01,-0.7799998E-01,-0.7799998E-01
433,1.829,1.829,1.829,1.829,1.829,1.829,1.829,1.829,1.829,1.829,1.829,1.829
434,1.918,1.918,1.918,1.918,1.918,1.918,1.918,1.918,1.918,1.918,1.918,1.918
435,-0.606,-0.606,-0.606,-0.606,-0.606,-0.606,-0.606,-0.606,-0.606,-0.606,-0.606,-0.606
436,-2.641,-2.641,-2.641,-2.641,-2.641,-2.641,-2.641,-2.641,-2.641,-2.641,-2.641,-2.641
437,-2.409,-2.409,-2.409,-2.409,-2.409,-2.409,-2.409,-2.409,-2.409,-2.409,-2.409,-2.409
438,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64
439,-1.71,-1.71,-1.71,-1.71,-1.71,-1.71,-1.71,-1.71,-1.71,-1.71,-1.71,-1.71
440,0.9039999,0.9039999,0.9039999,0.9039999,0.9039999,0.9039999,0.9039999,0.9039999,0.9039999,0.9039999,0.9039999,0.9039999
441,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785
442,0.7950001,0.7950001,0.7950001,0.7950001,0.7950001,0.7950001,0.7950001,0.7950001,0.7950001,0.7950001,0.7950001,0.7950001
443,-0.729,-0.729,-0.729,-0.729,-0.729,-0.729,-0.729,-0.729,-0.729,-0.729,-0.729,-0.729
444,-1.822,-1.822,-1.822,-1.822,-1.822,-1.822,-1.822,-1.822,-1.822,-1.822,-1.822,-1.822
445,-0.804,-0.804,-0.804,-0.804,-0.804,-0.804,-0.804,-0.804,-0.804,-0.804,-0.804,-0.804
446,-1.273,-1.273,-1.273,-1.273,-1.273,-1.273,-1.273,-1.273,-1.273,-1.273,-1.273,-1.273
447,-1.011,-1.011,-1.011,-1.011,-1.011,-1.011,-1.011,-1.011,-1.011,-1.011,-1.011,-1.011
448,-0.494,-0.494,-0.494,-0.494,-0.494,-0.494,-0.494,-0.494,-0.494,-0.494,-0.494,-0.494
449,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381
450,-0.193,-0.193,-0.193,-0.193,-0.193,-0.193,-0.193,-0.193,-0.193,-0.193,-0.193,-0.193
451,2.033,2.033,2.033,2.033,2.033,2.033,2.033,2.033,2.033,2.033,2.033,2.033
452,1.881,1.881,1.881,1.881,1.881,1.881,1.881,1.881,1.881,1.881,1.881,1.881
453,2.069,2.069,2.069,2.069,2.069,2.069,2.069,2.069,2.069,2.069,2.069,2.069
454,1.338,1.338,1.338,1.338,1.338,1.338,1.338,1.338,1.338,1.338,1.338,1.338
455,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239
456,0.3049999,0.3049999,0.3049999,0.3049999,0.3049999,0.3049999,0.3049999,0.3049999,0.3049999,0.3049999,0.3049999,0.3049999
457,-0.905,-0.905,-0.905,-0.905,-0.905,-0.905,-0.905,-0.905,-0.905,-0.905,-0.905,-0.905
458,-2.399,-2.399,-2.399,-2.399,-2.399,-2.399,-2.399,-2.399,-2.399,-2.399,-2.399,-2.399
459,-1.068,-1.068,-1.068,-1.068,-1.068,-1.068,-1.068,-1.068,-1.068,-1.068,-1.068,-1.068
460,-0.8679999,-0.8679999,-0.8679999,-0.8679999,-0.8679999,-0.8679999,-0.8679999,-0.8679999,-0.8679999,-0.8679999,-0.8679999,-0.8679999
461,-0.722,-0.722,-0.722,-0.722,-0.722,-0.722,-0.722,-0.722,-0.722,-0.722,-0.722,-0.722
462, 0.4500002E-01, 0.4500002E-01, 0.4500002E-01, 0.4500002E-01, 0.4500002E-01, 0.4500002E-01, 0.4500002E-01, 0.4500002E-01, 0.4500002E-01, 0.4500002E-01, 0.4500002E-01, 0.4500002E-01
463,1.512,1.512,1.512,1.512,1.512,1.512,1.512,1.512,1.512,1.512,1.512,1.512
464,1.451,1.451,1.451,1.451,1.451,1.451,1.451,1.451,1.451,1.451,1.451,1.451
465,2.205,2.205,2.205,2.205,2.205,2.205,2.205,2.205,2.205,2.205,2.205,2.205
