 YEAR, RECON
680,-1.368
681,-0.658
682,-0.406
683,0.047
684,-1.669
685,-0.981
686,-2.228
687,-3.263
688,-3.49
689,-1.686
690,0.269
691,0.07
692,0.866
693,0.207
694,0.916
695,-0.96
696,-1.434
697,-1.793
698,-3.241
699,0.005
700,-1.782
701,-1.158
702,-0.02
703,0.223
704,-1.059
705,-0.879
706,-0.734
707,-1.234
708,0.552
709,-0.721
710,-2.489
711,-2.158
712,-2.001
713,-1.497
714,-1.136
715,-0.358
716,-0.156
717,-0.57
718,-0.363
719,-3
720,-2.716
721,-1.684
722,-0.385
723,1.734
724,1.989
725,4.66
726,1.047
727,2.539
728,1.076
729,-0.915
730,1.922
731,-0.974
732,0.264
733,-0.122
734,-0.952
735,0.575
736,-1.381
737,-1.311
738,1.405
739,-0.656
740,-0.86
741,-0.579
742,-2.265
743,0.037
744,2.139
745,1.261
746,0.433
747,-0.07
748,-2.072
749,-2.036
750,-1.38
751,-0.656
752,-0.429
753,0.719
754,-1.178
755,0.37
756,0.327
757,-0.283
758,1.512
759,-2.804
760,-0.907
761,-0.672
762,0.861
763,-1.12
764,-0.741
765,1.06
766,0.972
767,0.638
768,0.804
769,0.391
770,0.928
771,-0.22
772,-3.087
773,-2.221
774,-1.314
775,0.056
776,-0.666
777,-1.065
778,-0.048
779,-2.477
780,-1.298
781,2.879
782,1.197
783,-0.114
784,1.221
785,2.943
786,-1.578
787,-1.834
788,-0.439
789,-2.509
790,0.722
791,-2.972
792,-1.587
793,0.003
794,-1.634
795,-2.45
796,-1.769
797,-0.653
798,-0.867
799,-0.325
800,-2.24
801,-0.727
802,-0.696
803,0.087
804,0.937
805,-1.671
806,-1.089
807,-2.208
808,-1.529
809,-2.341
810,-2.351
811,-1.015
812,-0.52
813,-0.153
814,-0.429
815,1.046
816,-0.816
817,-2.657
818,-1.414
819,-2.285
820,-3.513
821,-0.991
822,0.713
823,-1.212
824,-1.583
825,-1.189
826,-0.937
827,-1.466
828,-1.647
829,-1.422
830,-1.043
831,-2.284
832,-2.452
833,-0.029
834,1.537
835,-2.032
836,0.092
837,-0.349
838,-0.24
839,-0.403
840,2.724
841,-0.487
842,-1.176
843,-0.474
844,1.595
845,0.078
846,1.918
847,0.01
848,-0.52
849,-4.092
850,-2.43
851,-2.312
852,-1.38
853,-1.512
854,-1.229
855,-2.03
856,-0.821
857,-2.135
858,-2.027
859,-1.155
860,-1.389
861,0.568
862,-0.198
863,1.025
864,0.195
865,-0.206
866,0.519
867,-0.19
868,-1.786
869,-1.034
870,-2.428
871,-2.23
872,-2.278
873,-2.01
874,-1.967
875,-2.277
876,-3.104
877,-2.463
878,-0.199
879,0.049
880,-0.344
881,-0.215
882,-1.481
883,0.142
884,-0.762
885,1.368
886,0.415
887,-3.695
888,0.326
889,0.667
890,-0.047
891,-2.499
892,-1.235
893,-0.152
894,0.635
895,1.535
896,0.048
897,-0.768
898,-0.864
899,-3.118
900,-0.018
901,-2.483
902,-0.721
903,-1.23
904,-0.187
905,0.751
906,-2.861
907,-2.744
908,-1.546
909,-1.265
910,-2.631
911,0.475
912,0.211
913,-0.353
914,0.826
915,1.17
916,-0.515
917,-1.87
918,-0.924
919,-1.061
920,-0.907
921,1.856
922,3.714
923,0.024
924,0.226
925,-2.084
926,-2.005
927,0.757
928,-3.021
929,-0.753
930,-0.56
931,-1.664
932,-0.147
933,-1.35
934,1.038
935,1.186
936,-1.1
937,-1.422
938,0.03
939,0.286
940,-2.494
941,-4.179
942,0.573
943,-0.603
944,-0.178
945,-1.542
946,-1.679
947,1.31
948,-0.626
949,-1.518
950,-1.826
951,-1.076
952,-2.672
953,-0.923
954,-0.295
955,0.277
956,-0.97
957,-1.468
958,-1.595
959,-0.94
960,-2.892
961,-0.051
962,-1.067
963,-0.506
964,0.206
965,-0.724
966,2.575
967,1.033
968,-0.728
969,-1.64
970,-0.546
971,0.898
972,1.667
973,1.313
974,0.728
975,-2.248
976,-0.706
977,-1.113
978,0.404
979,-1.58
980,-1.76
981,-2.642
982,-1.944
983,-1.767
984,-1.243
985,-2.45
986,-0.011
987,-1.745
988,-2.498
989,-0.9
990,-2.99
991,-0.261
992,1.502
993,0.908
994,-0.816
995,0.951
996,0.599
997,1.427
998,0.402
999,-2.014
1000,-2.658
1001,-0.205
1002,-1.236
1003,0.131
1004,0.8
1005,-1.728
1006,-1.659
1007,1.009
1008,0.942
1009,-1.174
1010,-1.76
1011,0.317
1012,1.498
1013,0.621
1014,-0.604
1015,-0.545
1016,2.246
1017,-1.022
1018,0.745
1019,0.085
1020,-0.689
1021,1.941
1022,1.862
1023,0.189
1024,1.618
1025,-1.439
1026,-0.904
1027,-1.424
1028,0.318
1029,-0.643
1030,-0.751
1031,1.856
1032,-0.77
1033,-1.702
1034,-1.895
1035,-0.88
1036,0.644
1037,-0.543
1038,0.351
1039,-0.127
1040,0.699
1041,-2.893
1042,0.434
1043,-2.006
1044,-0.137
1045,-1.88
1046,-0.348
1047,-3.856
1048,-2.573
1049,-0.449
1050,0.512
1051,0.564
1052,1.647
1053,0.585
1054,-1.36
1055,-0.975
1056,0.073
1057,1.167
1058,1.038
1059,-0.013
1060,-1.807
1061,-2.022
1062,-2.087
1063,-0.545
1064,0.491
1065,2.043
1066,1.967
1067,2.233
1068,0.038
1069,1.365
1070,0.818
1071,-1.864
1072,-1.15
1073,-0.696
1074,0.097
1075,1.364
1076,-0.426
1077,0.006
1078,-2.668
1079,0.763
1080,-0.571
1081,0.589
1082,-2.46
1083,-1.131
1084,-1.325
1085,-1.945
1086,-0.174
1087,2.843
1088,0.239
1089,-0.239
1090,0.258
1091,0.673
1092,-1.826
1093,-1.654
1094,-0.621
1095,3.153
1096,1.183
1097,0.167
1098,0.855
1099,0.034
1100,1.319
1101,-0.037
1102,0.721
1103,0.114
1104,-1.346
1105,0.501
1106,0.435
1107,1.33
1108,0.168
1109,-1.624
1110,-1.949
1111,-0.358
1112,-1.696
1113,-0.686
1114,2.499
1115,0.248
1116,0.145
1117,0.899
1118,0.495
1119,0.539
1120,1.272
1121,2.53
1122,2.236
1123,-1.424
1124,-1.191
1125,-0.823
1126,-1.763
1127,0.877
1128,0.272
1129,-2.154
1130,-1.459
1131,-0.493
1132,0.681
1133,2.444
1134,0.415
1135,-2.559
1136,-1.202
1137,1.419
1138,-0.435
1139,1.471
1140,2.195
1141,0.979
1142,-1.592
1143,0.222
1144,-1.851
1145,-0.156
1146,-0.546
1147,-1.28
1148,-0.404
1149,-0.064
1150,1.902
1151,-2.377
1152,1.69
1153,-2.001
1154,-0.54
1155,-0.109
1156,0.609
1157,0.189
1158,1.022
1159,-1.224
1160,-0.082
1161,0.092
1162,-0.638
1163,-1.595
1164,-1.827
1165,-2.877
1166,1.503
1167,-0.228
1168,0.819
1169,0.783
1170,0.713
1171,-0.489
1172,0.208
1173,1.183
1174,1.656
1175,0.112
1176,-0.525
1177,0.537
1178,1.171
1179,-2.294
1180,0.129
1181,-1.888
1182,-1.684
1183,1.171
1184,-3.135
1185,-1.168
1186,1.774
1187,-0.279
1188,0.835
1189,3.186
1190,0.579
1191,-1.735
1192,0.879
1193,0.054
1194,-1.045
1195,0.606
1196,2.206
1197,-1.147
1198,-0.39
1199,0.571
1200,-0.889
1201,-1.326
1202,-0.721
1203,-1.719
1204,-0.868
1205,-0.599
1206,0.02
1207,-1.596
1208,-0.638
1209,-1.136
1210,-2.409
1211,-2.515
1212,0.083
1213,0.115
1214,0.613
1215,-3.073
1216,2.268
1217,-0.458
1218,0.668
1219,1.582
1220,0.015
1221,0.468
1222,0.256
1223,-2.387
1224,3.654
1225,1.142
1226,0.846
1227,-1.192
1228,1.731
1229,0.08
1230,0.416
1231,-0.803
1232,0.876
1233,-0.592
1234,-1.348
1235,1.204
1236,-3.531
1237,-1.2
1238,-0.739
1239,2.853
1240,-0.055
1241,2.063
1242,-0.9
1243,1.244
1244,0.176
1245,-0.572
1246,-0.321
1247,-1.801
1248,-0.952
1249,2.288
1250,-0.783
1251,-1.265
1252,0.15
1253,-0.321
1254,-1.157
1255,-1.681
1256,-1.336
1257,-2.259
1258,0.165
1259,-2.361
1260,-1.426
1261,-0.034
1262,0.184
1263,-2.41
1264,0.225
1265,1.213
1266,-1.667
1267,-1.202
1268,-0.297
1269,0.551
1270,-0.929
1271,1.024
1272,2.984
1273,-0.672
1274,-1.166
1275,-2.396
1276,0.523
1277,0.791
1278,-0.66
1279,0.284
1280,1.213
1281,0.365
1282,1.093
1283,-0.452
1284,-0.304
1285,0.443
1286,1.519
1287,-3.601
1288,-0.679
1289,0.948
1290,0.806
1291,1.327
1292,0.484
1293,0.949
1294,0.415
1295,1.101
1296,-3.562
1297,0.259
1298,2.229
1299,0.662
1300,0.704
1301,0.39
1302,-2.04
1303,-1.233
1304,-0.624
1305,1.344
1306,1.19
1307,-0.42
1308,-0.532
1309,0.995
1310,-2.551
1311,-1.571
1312,-2.373
1313,1.203
1314,-0.727
1315,-0.876
1316,0.513
1317,-0.331
1318,-2.468
1319,-0.841
1320,-0.332
1321,0.244
1322,-1.485
1323,-0.327
1324,-2.3
1325,-1.197
1326,1.22
1327,1.582
1328,0.806
1329,-0.213
1330,1.658
1331,1.168
1332,-0.076
1333,-1.54
1334,1.545
1335,-4.4
1336,-1.613
1337,-0.358
1338,-0.145
1339,1.584
1340,0.829
1341,0.4
1342,-0.986
1343,1.244
1344,0.571
1345,1.091
1346,-1.833
1347,-1.16
1348,-0.377
1349,-1.75
1350,-0.903
1351,-1.996
1352,-1.849
1353,0.801
1354,-1.955
1355,0.326
1356,-2.645
1357,-0.963
1358,-0.566
1359,-2.55
1360,-1.074
1361,0.418
1362,0.741
1363,2.415
1364,-2.136
1365,-0.311
1366,0.081
1367,-1.234
1368,0.536
1369,-0.991
1370,0.994
1371,1.216
1372,-3.57
1373,-0.06
1374,0.211
1375,-0.439
1376,-1.921
1377,0.913
1378,-1.881
1379,0.485
1380,0.891
1381,0.563
1382,-0.901
1383,0.312
1384,-1.436
1385,0.593
1386,0.169
1387,1.138
1388,0.01
1389,-3.601
1390,0.862
1391,-0.372
1392,-2.703
1393,0.861
1394,-0.02
1395,-0.95
1396,2.132
1397,0.771
1398,-0.953
1399,0.254
1400,1.034
1401,-4.529
1402,0.546
1403,0.391
1404,0.295
1405,1.301
1406,-0.192
1407,-0.124
1408,-0.118
1409,-1.95
1410,-0.417
1411,-3.27
1412,-1.405
1413,-0.424
1414,-0.5
1415,0.44
1416,-2.431
1417,1.311
1418,1.075
1419,-1.567
1420,-0.667
1421,-3.234
1422,0.559
1423,0.076
1424,1.506
1425,-0.906
1426,-0.719
1427,-1.336
1428,1.112
1429,2.516
1430,-0.519
1431,-2.551
1432,2.172
1433,-0.089
1434,1.25
1435,1.989
1436,-0.603
1437,2.682
1438,0.145
1439,-0.987
1440,-0.512
1441,-0.607
1442,-0.839
1443,1.81
1444,0.293
1445,-0.421
1446,-1.646
1447,-0.712
1448,-0.842
1449,0.386
1450,0.803
1451,-2.874
1452,-0.964
1453,-3.012
1454,-1.558
1455,-1.599
1456,0.662
1457,2.383
1458,-0.555
1459,0.921
1460,-0.564
1461,0.053
1462,0.055
1463,-1.671
1464,-1.15
1465,0.744
1466,0.243
1467,-0.174
1468,-1.44
1469,-0.516
1470,-0.011
1471,-1.769
1472,-2.999
1473,-2.392
1474,-2.213
1475,1.177
