Year,J,F,M,A,M,J,J,A,S,O,N,D
1750,107.083371253,107.083371253,107.083371253,107.083371253,107.083371253,107.083371253,107.083371253,107.083371253,107.083371253,107.083371253,107.083371253,107.083371253
1751,115.560194446,115.560194446,115.560194446,115.560194446,115.560194446,115.560194446,115.560194446,115.560194446,115.560194446,115.560194446,115.560194446,115.560194446
1752,100.646927927,100.646927927,100.646927927,100.646927927,100.646927927,100.646927927,100.646927927,100.646927927,100.646927927,100.646927927,100.646927927,100.646927927
1753,86.1837128825,86.1837128825,86.1837128825,86.1837128825,86.1837128825,86.1837128825,86.1837128825,86.1837128825,86.1837128825,86.1837128825,86.1837128825,86.1837128825
1754,79.0848069188,79.0848069188,79.0848069188,79.0848069188,79.0848069188,79.0848069188,79.0848069188,79.0848069188,79.0848069188,79.0848069188,79.0848069188,79.0848069188
1755,97.5609278911,97.5609278911,97.5609278911,97.5609278911,97.5609278911,97.5609278911,97.5609278911,97.5609278911,97.5609278911,97.5609278911,97.5609278911,97.5609278911
1756,69.4081450469,69.4081450469,69.4081450469,69.4081450469,69.4081450469,69.4081450469,69.4081450469,69.4081450469,69.4081450469,69.4081450469,69.4081450469,69.4081450469
1757,73.3632752493,73.3632752493,73.3632752493,73.3632752493,73.3632752493,73.3632752493,73.3632752493,73.3632752493,73.3632752493,73.3632752493,73.3632752493,73.3632752493
1758,120.926991979,120.926991979,120.926991979,120.926991979,120.926991979,120.926991979,120.926991979,120.926991979,120.926991979,120.926991979,120.926991979,120.926991979
1759,113.720581696,113.720581696,113.720581696,113.720581696,113.720581696,113.720581696,113.720581696,113.720581696,113.720581696,113.720581696,113.720581696,113.720581696
1760,84.1873145889,84.1873145889,84.1873145889,84.1873145889,84.1873145889,84.1873145889,84.1873145889,84.1873145889,84.1873145889,84.1873145889,84.1873145889,84.1873145889
1761,98.2342784325,98.2342784325,98.2342784325,98.2342784325,98.2342784325,98.2342784325,98.2342784325,98.2342784325,98.2342784325,98.2342784325,98.2342784325,98.2342784325
