Year,J,F,M,A,M,J,J,A,S,O,N,D
1784,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137
1785,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017
1786,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841
1787,3.2678,3.2678,3.2678,3.2678,3.2678,3.2678,3.2678,3.2678,3.2678,3.2678,3.2678,3.2678
1788,1.4487,1.4487,1.4487,1.4487,1.4487,1.4487,1.4487,1.4487,1.4487,1.4487,1.4487,1.4487
1789,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882
1790,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567
1791,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843
1792,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346
1793,0.4215,0.4215,0.4215,0.4215,0.4215,0.4215,0.4215,0.4215,0.4215,0.4215,0.4215,0.4215
1794,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372
1795,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979
1796,2.2406,2.2406,2.2406,2.2406,2.2406,2.2406,2.2406,2.2406,2.2406,2.2406,2.2406,2.2406
1797,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979
1798,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351
1799,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038
1800,1.0409,1.0409,1.0409,1.0409,1.0409,1.0409,1.0409,1.0409,1.0409,1.0409,1.0409,1.0409
1801,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274
1802,2.0289,2.0289,2.0289,2.0289,2.0289,2.0289,2.0289,2.0289,2.0289,2.0289,2.0289,2.0289
1803,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076
1804,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902
1805,0.8214,0.8214,0.8214,0.8214,0.8214,0.8214,0.8214,0.8214,0.8214,0.8214,0.8214,0.8214
1806,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444
1807,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896
1808,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135
1809,3.0248,3.0248,3.0248,3.0248,3.0248,3.0248,3.0248,3.0248,3.0248,3.0248,3.0248,3.0248
1810,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765
1811,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743
1812,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055
1813,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156
1814,1.7623,1.7623,1.7623,1.7623,1.7623,1.7623,1.7623,1.7623,1.7623,1.7623,1.7623,1.7623
1815,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877
1816,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114
1817,2.5465,2.5465,2.5465,2.5465,2.5465,2.5465,2.5465,2.5465,2.5465,2.5465,2.5465,2.5465
1818,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255
1819,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761
1820,2.0603,2.0603,2.0603,2.0603,2.0603,2.0603,2.0603,2.0603,2.0603,2.0603,2.0603,2.0603
