"year","pApril","pMay","pJune","pJuly","pAugust","pSeptember","pOctober","pNovmber","pDecember","j","f","m","a","m","j","j","a","s","o","n","d","mj"
1925,100.5,161.05,123.65,82.89999,54.34999,131.1,17.05,42.85,159.5,101.9,94.14999,61.55,75.89999,47.44999,80.55,102.45,36.55,64.85,181.75,115.25,36.95,63.999995
1926,75.89999,47.44999,80.55,102.45,36.55,64.85,181.75,115.25,36.95,91.14999,92.95,74.89999,71.45,88.64999,90.05,126.75,171.5,90.95,75.3,98.9,202.65,89.349995
1927,71.45,88.64999,90.05,126.75,171.5,90.95,75.3,98.9,202.65,69.89999,99.3,87.2,129.1,170.7,128.6,84.84999,130.05,48.65,31.8,88.15,140.15,149.65
1928,129.1,170.7,128.6,84.84999,130.05,48.65,31.8,88.15,140.15,49.09999,49.25,123.65,140.9,130.7,230.85,86.84999,80.25,107.35,97.39999,133.9,39.5,180.775
1929,140.9,130.7,230.85,86.84999,80.25,107.35,97.39999,133.9,39.5,98.09999,107.6,212.2,97.59998,183.65,138.3,141.7,22.35,130.95,41.19999,170.5,53.55001,160.975
1930,97.59998,183.65,138.3,141.7,22.35,130.95,41.19999,170.5,53.55001,52.8,74.4,92.75,33.49999,92.35,58.8,81.49998,83.45,75.35,40.74999,73.65,66.3,75.575
1931,33.49999,92.35,58.8,81.49998,83.45,75.35,40.74999,73.65,66.3,34.34999,80.4,96.6,130.2,88.59999,39.89999,172.85,135.7,46.4,46.55,55.9,150.95,64.24999
1932,130.2,88.59999,39.89999,172.85,135.7,46.4,46.55,55.9,150.95,155.5,105.45,118.05,86.59999,58.8,173.5,67.19999,81.64999,61.95,110.6,65.9,118.65,116.15
1933,86.59999,58.8,173.5,67.19999,81.64999,61.95,110.6,65.9,118.65,104.5,132.25,101.2,70.09999,161.05,26.49999,142.85,87.35,46,22.64999,31.1,84.5,93.774995
1934,70.09999,161.05,26.49999,142.85,87.35,46,22.64999,31.1,84.5,81.09999,62.6,193.7,74.8,23.50001,127.9,137.7,101.1,71.5,69.7,62.5,58.90001,75.700005
1935,74.8,23.50001,127.9,137.7,101.1,71.5,69.7,62.5,58.90001,100.8,97.7,252.9,111.9,166.8,107.55,131.95,72.95,16.65,42.05,148.75,65.45001,137.175
1936,111.9,166.8,107.55,131.95,72.95,16.65,42.05,148.75,65.45001,133.5,83,118.75,125.75,19.95,25.75,126.2,105.5,60.05,68.59999,37.1,143.75,22.85
1937,125.75,19.95,25.75,126.2,105.5,60.05,68.59999,37.1,143.75,283.65,102.4,51.25,90.2,98.05,148.25,98.8,135.65,50.8,115.15,35.25,64.2,123.15
1938,90.2,98.05,148.25,98.8,135.65,50.8,115.15,35.25,64.2,119.5,59.3,121.35,152,168.85,131.85,137.8,106,46.5,4.149998,83.85,52.15001,150.35
1939,152,168.85,131.85,137.8,106,46.5,4.149998,83.85,52.15001,115.65,201.25,113.9,102.55,46.84999,96.55,134.3,42.3,22.25,34.2,25.2,59.3,71.699995
1940,102.55,46.84999,96.55,134.3,42.3,22.25,34.2,25.2,59.3,44.69999,106.95,122.95,127.55,80.2,121.55,113.15,104.15,19,15.95,69,86.45,100.875
1941,127.55,80.2,121.55,113.15,104.15,19,15.95,69,86.45,52.3,24.75,79.75,93.59999,11.34999,98.3,251.6,73.35,43.75,64.8,62.3,79.45001,54.824995
1942,93.59999,11.34999,98.3,251.6,73.35,43.75,64.8,62.3,79.45001,86.74999,65.65,119.35,28.19999,85.55,188.95,149.9,232.8,105.9,67.24999,79.9,179.35,137.25
1943,28.19999,85.55,188.95,149.9,232.8,105.9,67.24999,79.9,179.35,55.69999,68.65,151.9,98.89999,76.55,115.75,98.74999,80.7,52.55,46.3,45.3,59.45001,96.15
1944,98.89999,76.55,115.75,98.74999,80.7,52.55,46.3,45.3,59.45001,61.79999,191.3,178.05,95.69999,100.55,63.75,37.04999,108.65,171.35,36.2,75.9,109.95,82.15
1945,95.69999,100.55,63.75,37.04999,108.65,171.35,36.2,75.9,109.95,95.2,147.35,110.2,97.05,158.75,114.05,111.2,111.7,62.75,53.2,127.05,100.9,136.4
1946,97.05,158.75,114.05,111.2,111.7,62.75,53.2,127.05,100.9,155.5,98.1,94.24999,58.54999,112.7,99.39999,80.99998,135.25,94.05,56.59999,53.65,90.10001,106.049995
1947,58.54999,112.7,99.39999,80.99998,135.25,94.05,56.59999,53.65,90.10001,173.25,55.6,64.95,72.64999,95.34999,120.25,77.49999,145.45,43.55,41.24999,75.75,49.80001,107.799995
1948,72.64999,95.34999,120.25,77.49999,145.45,43.55,41.24999,75.75,49.80001,80.64999,135.15,159.25,75.09999,77.59999,99.6,133.05,74.89999,50.15,42.05,174.35,135.1,88.599995
1949,75.09999,77.59999,99.6,133.05,74.89999,50.15,42.05,174.35,135.1,143.4,77.6,113.65,104.1,111.75,118,122.1,171.2,65.2,108.7,66.10001,126.5,114.875
1950,104.1,111.75,118,122.1,171.2,65.2,108.7,66.10001,126.5,236.5,98.85,114.8,51.19999,176.65,152.1,124.55,139.4,53.6,34.34999,99.55,74.55,164.375
1951,51.19999,176.65,152.1,124.55,139.4,53.6,34.34999,99.55,74.55,137.2,97.2,135.45,101.25,61.35,135.75,56.99999,54.95,120.1,44.84999,148.95,193.05,98.55
1952,101.25,61.35,135.75,56.99999,54.95,120.1,44.84999,148.95,193.05,154.85,54.2,218.85,57.14999,103.15,79.05,63.84999,133.5,39.45,28.34999,93.2,87.3,91.1
1953,57.14999,103.15,79.05,63.84999,133.5,39.45,28.34999,93.2,87.3,116.35,108.85,99.89999,91.49999,132.05,138.1,106.7,39.89999,47.1,11.9,40.25,80.45,135.075
1954,91.49999,132.05,138.1,106.7,39.89999,47.1,11.9,40.25,80.45,177.45,42.15,110.95,81.64999,71.5,56.39999,79.64999,83.84999,57.1,47.94999,66.15,156.9,63.949995
1955,81.64999,71.5,56.39999,79.64999,83.84999,57.1,47.94999,66.15,156.9,47.15,144.3,246.3,79.04999,61.19999,107.35,100.25,62.25,63.3,61.44999,77.75,68.8,84.274995
