,recon
1750,24.456796783384114
1751,16.132466733100358
1752,3.4515504976930114
1753,9.8283537047308069
1754,-15.269300687676678
1755,22.656512718635653
1756,25.130621148939273
1757,14.718921844187481
1758,7.8525197024719811
1759,-13.49955246240517
1760,-30.874251645598733
1761,-20.363550597626983
1762,-24.552876777108914
1763,0.68461708267648458
1764,-17.658782900533261
1765,6.3825209992869461
1766,-16.42075187561441
1767,-16.071718572976209
1768,9.8039445170322299
1769,-0.6475215071533551
1770,-18.989972028571714
1771,16.600596085476738
1772,-15.805655931326333
1773,-14.65337955590163
1774,-45.086714253101576
1775,-27.812338607786511
1776,20.756746127002891
1777,15.826817672664532
1778,4.9133286398119704
1779,38.864935079101798
1780,21.614592889176862
1781,1.5787077467214359
1782,8.4964820465004145
1783,4.2177826951897508
1784,-18.872206850371633
1785,-0.66637253761984194
1786,26.537690190755896
1787,-2.6455737985765055
1788,15.341046964505818
1789,-13.860641769963941
1790,-3.4343376654820617
1791,-7.008760831343964
1792,-19.836233018584636
1793,7.2948435471223672
1794,9.748943403433298
1795,13.199403323627468
1796,25.102464288234099
1797,20.427681862391051
1798,12.513737139931949
1799,-8.1267149356217594
1800,-2.5203141951507511
1801,-12.764381607594787
1802,11.683199933498436
1803,2.9290197437862782
1804,-8.2323315576865674
1805,3.5889322055771129
1806,-3.8899336211571143
1807,-8.1857836835626827
1808,-9.8798589704465609
1809,-8.4881456335844678
1810,-2.3113615778208292
1811,-6.440240060928085
1812,-12.179641579004789
1813,-7.3456648203245409
1814,8.5176485202577439
1815,4.4089787698900498
1816,-2.6431406861305877
1817,7.4668564703729192
1818,-1.4156336899706272
1819,-12.054692030750468
1820,7.0813465210551865
1821,-21.735318808912805
1822,-8.8745234586487278
1823,-0.461994738197403
1824,14.72278578788065
1825,0.90121568011661801
1826,-13.617237177150045
1827,5.7614793414276129
1828,6.0112863077502601
1829,-3.8560012250773994
1830,6.7759958010656147
1831,1.2741555809451075
1832,3.8438320787034099
1833,12.951480548770522
1834,4.1188036266878729
1835,3.5145303786325486
1836,-0.49052354476520144
1837,-7.83243274361429
1838,-13.829244349181419
1839,-12.434954792054143
1840,14.786742936114358
1841,1.785000975776422
1842,4.3043359509172534
1843,3.5100148025035471
1844,-2.6963148551519653
1845,-14.384792728130453
1846,1.9148479448233022
1847,3.5551426952417859
1848,-7.2598989187285685
1849,1.6275009176068882
1850,-15.852855284111673
1851,-2.1741175731712219
1852,15.184100957870143
1853,-12.525336562080442
1854,-0.7057514587822431
1855,32.704751162599877
1856,3.0821193703133547
1857,-4.4286148348352619
1858,-1.7784024640701117
1859,-13.231631912498745
1860,1.3631348207016325
1861,-2.6002755197626293
1862,5.4567839036622274
1863,13.915449888545105
1864,-1.6092000847129357
1865,-4.0345644276382675
1866,-11.015662358680556
1867,-19.885149276538776
1868,-17.718042713370803
1869,-9.1014373021139772
1870,-1.0903624261453153
1871,-19.413160517661968
1872,-0.22894985260848166
1873,-5.359457409263281
1874,-23.105326385853736
1875,17.295803475928484
1876,14.792797612011686
1877,-6.5765308044315605
1878,23.961352178942057
1879,-10.727381128919264
1880,-8.399725494522281
1881,-3.1450409986620622
1882,8.4618702341387753
1883,-0.28377262887558796
1884,9.5226960026133547
1885,-13.496008178344798
1886,14.597894228455068
1887,-2.2395278098304012
1888,-3.1605579986940393
1889,32.951178409595002
1890,-3.0584738634654807
1891,9.4638720110600829
1892,15.88644801982656
1893,5.2781241129715522
1894,-13.707647729764529
1895,-9.0646892586201222
1896,-5.0709611082115664
1897,-9.5482237796653688
1898,-17.002630100060696
1899,-5.1526436461179053
1900,-11.894708869741384
1901,-4.2310066219217486
1902,-3.7213302983765044
1903,6.5173801426638747
1904,10.812666446579982
1905,-3.1979271281338
1906,-7.7597494809506626
1907,13.072954769993505
1908,8.3803976627778507
1909,15.653021117753415
1910,15.885536510071418
1911,-29.905097011041679
1912,-10.712125862128202
1913,-9.8597273026918799
1914,-38.291354884571625
1915,9.7567344608972029
1916,14.320758331965733
1917,1.71222819127764
1918,-10.755158219315895
1919,9.3111559480035737
1920,2.4414134140965067
1921,-4.8384508954505678
1922,21.041885707984569
1923,-4.8642252304800442
1924,26.208892605646653
1925,-26.664731388974289
1926,-14.233154641154757
1927,16.591417211960579
1928,24.878348497917319
1929,8.7904745063433296
1930,-26.13175466469179
1931,-19.47433388746542
1932,-11.436838794032408
1933,-26.400913447104038
1934,-17.898979236262811
1935,-8.5657957808023006
1936,-23.257726439790105
1937,0.49811419401339352
1938,24.976549488343956
1939,8.3248685810298078
1940,23.451762989213332
1941,11.635529664649582
1942,16.077646107116877
1943,10.242857803726672
1944,-11.699071981329768
1945,-3.6696271794675823
1946,1.714485624973431
1947,-13.862476337019418
1948,-0.37638786235148536
1949,17.723012914180149
1950,32.790460267606541
1951,25.859840810958655
1952,4.8439563314311531
1953,11.157098004802208
1954,-18.37751699651405
1955,-17.491370093291618
1956,-10.769359996376117
1957,2.5872664628443158
1958,6.8611623662365151
1959,-10.43805302850231
1960,-16.508404647171965
1961,0.46363852541164774
1962,-4.4006414274261685
1963,-17.825032634523744
1964,-20.351077219093597
1965,-0.87060559224620349
1966,-29.555681063225318
1967,-5.2248427549572902
1968,-6.0720633850573824
1969,-7.5944326888446749
1970,-8.8134336759610594
1971,10.577097875763512
1972,22.657835050882468
1973,26.147685969246915
1974,19.07891603198599
1975,17.814853043965734
1976,20.323675269476745
1977,-3.0373016866328126
1978,0.37337624547616466
1979,-1.169386393709223
1980,1.0355065986365897
1981,-8.9297561404196699
