,recon
1750,64.290963188982914
1751,39.007036170233476
1752,5.9229659984035958
1753,23.614127373525708
1754,-40.232507344540934
1755,57.513600203202415
1756,63.579764569417016
1757,37.83347276953748
1758,21.594114485925445
1759,-36.349570085056257
1760,-77.601653941172884
1761,-55.906383073255505
1762,-61.302960169747699
1763,0.48982439400369304
1764,-48.769079809727081
1765,8.8704994423329797
1766,-45.725288738846011
1767,-40.356619162134621
1768,21.892133411803556
1769,-5.9172993032273284
1770,-52.067166608630764
1771,44.281138005827167
1772,-40.561502081598505
1773,-38.106066621106983
1774,-121.72658764170093
1775,-79.159886447438879
1776,55.46485081684461
1777,37.578149528693856
1778,5.7713857487555913
1779,99.486566753674694
1780,55.876050100454208
1781,5.7244154583988838
1782,24.323767314214187
1783,12.57138472522295
1784,-52.43533504189601
1785,2.003120014424459
1786,69.199140263426358
1787,-8.9717216488758389
1788,38.98168849181598
1789,-35.591804129211205
1790,-11.588375339688284
1791,-20.549688916577665
1792,-54.073862397683953
1793,18.145009068193943
1794,25.033773939762842
1795,33.465349855470706
1796,63.911378069555688
1797,51.052754284093098
1798,29.898978806566724
1799,-23.375658434147677
1800,-9.0229689106580206
1801,-33.807259534678565
1802,27.46486970111825
1803,9.7049858596220933
1804,-23.989244583368691
1805,11.169840127077315
1806,-11.996964435847397
1807,-21.356866851817838
1808,-23.155096076059291
1809,-24.040393624781316
1810,-4.6310540990968896
1811,-21.525693513366068
1812,-32.239321735921749
1813,-21.200322992154469
1814,20.724143264531875
1815,7.8023124992722934
1816,-5.1347376683572215
1817,16.170114494376147
1818,-4.0266063203598437
1819,-31.409186500776144
1820,20.450651140778309
1821,-57.843111139727441
1822,-21.912060892443165
1823,1.2542075927028178
1824,33.726705500485359
1825,0.81396276366678344
1826,-35.726325656320505
1827,13.563050438423812
1828,16.031660567785686
1829,-9.747315665702601
1830,13.963428495888094
1831,5.4219566832687045
1832,12.129359917689815
1833,35.544190842699017
1834,11.915126188582374
1835,9.1354914283997797
1836,-0.46695565337065692
1837,-21.62740332601388
1838,-41.850747146104737
1839,-36.335185758736266
1840,35.856242216884233
1841,-0.10910296562207211
1842,11.450817778187632
1843,9.4602141294935507
1844,-5.4801561727261614
1845,-10.475518641170986
1846,-5.9880761483716141
1847,7.7238816891420203
1848,4.3727583740399858
1849,28.861020399839393
1850,-24.716912353988373
1851,-21.208201916994476
1852,30.072263989043261
1853,-20.121413923122219
1854,-23.568965717246545
1855,-29.018251617909069
1856,-10.123258755986422
1857,10.800654285422015
1858,13.154447343561634
1859,-10.247088401230796
1860,17.841854672788848
1861,2.077969988389988
1862,2.2040189760947015
1863,-3.3768278394724476
1864,14.12546651679952
1865,-3.9204862810583041
1866,-11.900913727826408
1867,-19.344847733086297
1868,-35.441076064239958
1869,-13.297467363392434
1870,-13.729806116635086
1871,-20.861707842305723
1872,-51.362397431039234
1873,-17.947204559167321
1874,-52.928980212534363
1875,19.084223551670551
1876,31.2258450760697
1877,8.5638595689002486
1878,23.608792961285452
1879,-40.231472022959103
1880,-6.8354805149230096
1881,20.77358073562861
1882,45.904374759510716
1883,17.323055897225181
1884,41.281957050520752
1885,-18.880663709320405
1886,19.302617984688176
1887,-5.4772865115635438
1888,13.18069946291595
1889,40.711314132447995
1890,-12.659385977677619
1891,-3.0144784167886232
1892,33.466203705716389
1893,18.230218062100022
1894,-26.362641591270044
1895,-12.534511916694159
1896,6.9958832874257197
1897,11.35399663282991
1898,-35.710251950210129
1899,-18.811485559510754
1900,-35.171794734558389
1901,-24.494463775784354
1902,-11.605184473337619
1903,5.7220527946827255
1904,-9.9178930033986905
1905,-5.911348758622613
1906,-12.456075248702037
1907,-3.5619527198073784
1908,-5.4161378615503706
1909,7.7055323793238966
1910,-5.2596745741399937
1911,-63.409144448165968
1912,2.7446487317838484
1913,-13.166894618144065
1914,-55.963269382102112
1915,-0.050166287241498075
1916,17.926731979300595
1917,11.742321768927876
1918,5.2058793907183158
1919,11.828751333415681
1920,3.4310848380867114
1921,-31.418660757726716
1922,24.241526916312448
1923,9.9342075636501779
1924,27.509008470496365
1925,-33.01363024548921
1926,-0.82570194881806824
1927,35.23823998512097
1928,49.686206523396329
1929,24.296071910416497
1930,-8.7137697548601238
1931,-33.754957612662878
1932,-8.1037525908610828
1933,-39.714112911121902
1934,-13.740913007255759
1935,-9.7993389747460551
1936,-55.857168293641003
1937,11.781808039190054
1938,33.735962646162449
1939,11.211138616271022
1940,11.988546781257016
1941,-14.396846765760804
1942,18.750068126995973
1943,23.228084591992769
1944,-9.1114824904138541
1945,10.459591308187321
1946,10.759443070671427
1947,-13.690636510049723
1948,-14.504413867972383
1949,29.591447644598617
1950,38.317461705193708
1951,24.028413466558373
1952,0.38565822941529926
1953,-13.948123446684107
1954,-26.968220229855167
1955,-38.985677993123659
1956,-25.732625981594463
1957,-3.1102879541685864
1958,0.0018068382140969952
1959,6.137010981238368
1960,-7.3222523651084037
1961,7.8080512578497459
1962,-14.485375134177048
1963,-16.716039968524051
1964,-24.418408736956433
1965,11.067895781957271
1966,-26.603511902318687
1967,-12.438430273795355
1968,-4.0973082856861991
1969,-5.7260821003269822
1970,-4.006969520240772
1971,25.500115600706103
1972,18.772282267692695
1973,17.414801185044293
1974,20.261459131114997
1975,11.513086309233211
1976,6.3101185064161189
1977,-39.25737073974858
1978,4.5282533265365226
1979,5.7513200506276698
1980,-8.6960395596934088
1981,-3.8049054224429817
