,Jan,Feb,Mar,April,May,June,July,Aug,Sep,Oct,Nov,Dec
1750,-0.17999999999999999,-0.17999999999999999,-0.17999999999999999,-0.17999999999999999,-0.17999999999999999,-0.17999999999999999,-0.17999999999999999,-0.17999999999999999,-0.17999999999999999,-0.17999999999999999,-0.17999999999999999,-0.17999999999999999
1751,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247
1752,-1.0940000000000001,-1.0940000000000001,-1.0940000000000001,-1.0940000000000001,-1.0940000000000001,-1.0940000000000001,-1.0940000000000001,-1.0940000000000001,-1.0940000000000001,-1.0940000000000001,-1.0940000000000001,-1.0940000000000001
1753,-0.080000000000000002,-0.080000000000000002,-0.080000000000000002,-0.080000000000000002,-0.080000000000000002,-0.080000000000000002,-0.080000000000000002,-0.080000000000000002,-0.080000000000000002,-0.080000000000000002,-0.080000000000000002,-0.080000000000000002
1754,1.3460000000000001,1.3460000000000001,1.3460000000000001,1.3460000000000001,1.3460000000000001,1.3460000000000001,1.3460000000000001,1.3460000000000001,1.3460000000000001,1.3460000000000001,1.3460000000000001,1.3460000000000001
1755,-3.5939999999999999,-3.5939999999999999,-3.5939999999999999,-3.5939999999999999,-3.5939999999999999,-3.5939999999999999,-3.5939999999999999,-3.5939999999999999,-3.5939999999999999,-3.5939999999999999,-3.5939999999999999,-3.5939999999999999
1756,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
1757,-0.84999999999999998,-0.84999999999999998,-0.84999999999999998,-0.84999999999999998,-0.84999999999999998,-0.84999999999999998,-0.84999999999999998,-0.84999999999999998,-0.84999999999999998,-0.84999999999999998,-0.84999999999999998,-0.84999999999999998
1758,-0.77800000000000002,-0.77800000000000002,-0.77800000000000002,-0.77800000000000002,-0.77800000000000002,-0.77800000000000002,-0.77800000000000002,-0.77800000000000002,-0.77800000000000002,-0.77800000000000002,-0.77800000000000002,-0.77800000000000002
1759,-2.0369999999999999,-2.0369999999999999,-2.0369999999999999,-2.0369999999999999,-2.0369999999999999,-2.0369999999999999,-2.0369999999999999,-2.0369999999999999,-2.0369999999999999,-2.0369999999999999,-2.0369999999999999,-2.0369999999999999
