,pca1
1880,-0.027546662502760406
1881,0.12361320830165931
1882,0.26120454266065002
1883,0.10472155225992837
1884,0.23589676209708504
1885,-0.093494154123624551
1886,0.11555967336353001
1887,-0.020110537521471791
1888,0.082042111704030071
1889,0.23277248673732029
1890,-0.05943259985275097
1891,-0.0066266399690036457
1892,0.19310543880222891
1893,0.10968827367058114
1894,-0.13445805361058868
1895,-0.058748913190832829
1896,0.04818018479706182
1897,0.072040896476606983
1898,-0.18563630850903107
1899,-0.093115403100805655
1900,-0.182688250173654
1901,-0.060420582462247734
1902,-0.061259672705004292
1903,0.11671973987396932
1904,0.16307131695281515
1905,-0.036509947283414265
1906,-0.11318767201729564
1907,0.19859694286162161
1908,0.14446887670510006
1909,0.24484965952418453
1910,0.21670359088853064
1911,-0.42635321708400864
1912,-0.16163195265117694
1913,-0.1349282827666114
1914,-0.55844306021822199
1915,0.1588820447739106
1916,0.22890098972048364
1917,0.022597652466615634
1918,-0.12684988455839341
1919,0.14047977848725743
1920,0.056518468887670016
1921,-0.05322334348712103
1922,0.31213920040408699
1923,-0.037388351921157865
1924,0.37937211831500572
1925,-0.35079375755407044
1926,-0.21507758890054504
1927,0.2578389438374028
1928,0.36448871589850812
1929,0.14108030289666171
1930,-0.36220072345048909
1931,-0.27254294121582373
1932,-0.16747233461646222
1933,-0.3966955134979811
1934,-0.2641177992575478
1935,-0.13531899654119522
1936,-0.33266499081060341
1937,-0.0051803741174543984
1938,0.35771989557953199
1939,0.12070368039469777
1940,0.35015546865640823
1941,0.15518748532745349
1942,0.25925513846580517
1943,0.15831210756611641
1944,-0.16915074722002035
1945,-0.086240020123763778
1946,0.027363324321256349
1947,-0.20925715660171845
1948,-0.0046309543059718985
1949,0.28263860233114402
1950,0.47330574447040624
1951,0.3759591808366598
1952,0.06611522446507706
1953,0.17705343349838051
1954,-0.25022042218667079
1955,-0.26827672363415311
1956,-0.13424025186046157
1957,0.032713477786973456
1958,0.11222249807398979
1959,-0.14219140773443664
1960,-0.21495903815729431
1961,0.0071955515579047256
1962,-0.0520868877390245
1963,-0.25912938964789484
1964,-0.25469298252250938
1965,-0.026347745737944666
1966,-0.41631911926678
1967,-0.073309184776042105
1968,-0.069030929128406984
1969,-0.10695474899509401
1970,-0.14093266235402241
1971,0.17981579671839101
1972,0.34714424568680563
1973,0.36091464696467079
1974,0.29787387915573421
1975,0.25869183486536118
1976,0.27111370412300012
1977,-0.065213904805938458
1978,7.2055973865550513e-05
1979,-0.0054632949155648744
1980,0.036307340583601584
1981,-0.11624328338867231
