,pca1
1750,0.36187128776693384
1751,0.22344154881642234
1752,0.04230595251800625
1753,0.13916522794122149
1754,-0.2103956994549285
1755,0.32476516148367346
1756,0.35797746861552332
1757,0.21701627812647961
1758,0.12810563832526461
1759,-0.18913658132849656
1760,-0.41499212960357923
1761,-0.29621031693344513
1762,-0.32575662744682965
1763,0.012559450978885715
1764,-0.25713351423391967
1765,0.058443725929884574
1766,-0.24046872940640815
1767,-0.21107521282709676
1768,0.12973729475589052
1769,-0.022519611706812333
1770,-0.27519057057132351
1771,0.25231730612098358
1772,-0.21219694874398076
1773,-0.19875341643376598
1774,-0.65657655787863123
1775,-0.42352346727539919
1776,0.3135482392659254
1777,0.215618380974199
1778,0.041476049221209579
1779,0.55456754931099794
1780,0.31579955922284914
1781,0.041218886438399494
1782,0.14305051331107391
1783,0.078706107767023248
1784,-0.27720629621666859
1785,0.020844758776778587
1786,0.38874360355214588
1787,-0.039242602863968627
1788,0.22330277003796226
1789,-0.18498780557165198
1790,-0.053568806506086836
1791,-0.10263208287856498
1792,-0.28617724894710467
1793,0.10922175362510293
1794,0.14693780628399497
1795,0.1931007639640788
1796,0.35979305565714942
1797,0.28939196912638843
1798,0.17357484882699034
1799,-0.1181042926468191
1800,-0.039523182105681176
1801,-0.175217407081595
1802,0.16024807851182427
1803,0.063012546936898908
1804,-0.12146368260223735
1805,0.071032637870320631
1806,-0.055805835662095252
1807,-0.10705138968873928
1808,-0.1168967116555497
1809,-0.12174372408649997
1810,-0.015477407080051362
1811,-0.10797571725338845
1812,-0.16663293284183028
1813,-0.10619431058028293
1814,0.12334253768102275
1815,0.052595392339592893
1816,-0.018235079373388734
1817,0.098409187202741041
1818,-0.012168049789242179
1819,-0.16208793459809975
1820,0.12184516572340905
1821,-0.30681392136803426
1822,-0.11009108229873818
1823,0.016744456202781921
1824,0.19453168858610415
1825,0.014334111610639322
1826,-0.18572431220162108
1827,0.084135486901948373
1828,0.097651150648515178
1829,-0.043488987422873979
1830,0.086327560543641504
1831,0.039562921791233975
1832,0.076286017775817103
1833,0.20448243798047025
1834,0.075113086087921235
1835,0.059894559553474863
1836,0.0073210711934642283
1837,-0.10853257943714263
1838,-0.21925557763459919
1839,-0.18905782700619611
1840,0.20619092219795651
1841,0.0092803180347891829
1842,0.072570993160829336
1843,0.061672419405323899
1844,-0.020126248943408857
1845,-0.047475905583265823
1846,-0.02290711560167007
1847,0.0521659829142311
1848,0.033818551150306804
1849,0.16789201675829299
1850,-0.12544767051103353
1851,-0.10623744776810995
1852,0.17452358683578265
1853,-0.10028727324914682
1854,-0.11916265184540267
1855,-0.14899754355886269
1856,-0.045547279388740119
1857,0.069011341904441997
1858,0.081898381102908618
1859,-0.046225247864633986
1860,0.10756198045036994
1861,0.021254563090357611
1862,0.021944682487158602
1863,-0.0086105064765202178
1864,0.087214720236761675
1865,-0.01158704157295376
1866,-0.055279957129559652
1867,-0.096035566032750069
1868,-0.18416256799399985
1869,-0.062926101459055292
1870,-0.065293160211644982
1871,-0.10434038944044217
1872,-0.27133195267537658
1873,-0.08838345647049356
1874,-0.27990900818285058
1875,0.11436396178247474
1876,0.18083945416987587
1877,0.056764869730069049
1878,0.13913602198388247
1879,-0.21039003105950094
